Suburb,Site,Exposure period,Notes,Date added,Health advice
Abbotsford,Dukes Gym Abbotsford 571-573 Victoria Street Abbotsford VIC 3067,24/05/2021 6:15pm - 8:15pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Arthurs Seat,Enchanted Adventure Garden 55 Purves Road Arthurs Seat VIC 3936,21/05/2021 11:25am - 3:00pm,Case attended,30/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Aspendale Gardens,Chelsea Heights Hotel Springvale Road & Wells Road Aspendale Gardens VIC 3196,23/05/2021 12:10pm - 1:30pm,Case dined at venue,27/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Axedale,Axedale Tavern 105 High Street Axedale VIC 3551,23/05/2021 11:45am - 1:30pm,Case attended function,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Balwyn,Endless Lifestyle Studio  Shop 3/188 Whitehorse Road  Balwyn VIC 3103,23/05/2021 9:45am - 12:40pm,Case attended venue,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Bayswater North,Mcdonalds Bayswater North 296 Canterbury Road Bayswater North VIC 3153,21/05/2021 11:00pm - 12:00am,Case dined in restaurant,26/05/2021,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.
Bendigo,Hairfolk 33 Williamson Street Bendigo VIC 3550,22/05/2021 9:40am - 10:10am,Case attended venue,26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Braeside,Shell Coles Express Braeside 918 - 928 Springvale Road Cnr Governor Road Braeside VIC 3064,22/05/2021 8:15am - 9:00am,Case attended venue,29/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Brighton,Brighton Beach Hotel 4 The Esplanade Brighton VIC 3186,23/05/2021 3:09pm - 4:52pm,Case attended venue,30/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Brunswick,Futsal Brunswick 409 Victoria Street Brunswick VIC 3056,23/05/2021 9:00am - 10:00am,Case attended venue. The Department may provide you with specific advice depending on what activity you participated in at this exposure site.,24/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Brunswick,"Barkly Square: Priceline, Kmart, Woolworths, OPSM Barkly Square Shopping Centre, 90-160 Sydney Rd Brunswick VIC 3056",22/05/2021 1:15pm - 2:30pm,"Case attended venue, walked around the centre and into some shops with limited purchases",26/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
Brunswick,"OPSM Barkly Square Barkly Square Shopping Centre, 90-160 Sydney Rd Brunswick VIC 3056",22/05/2021 3:45pm - 4:15pm,Case attended venue,27/05/2021,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear."
